OriginAirportID,Origin,scheduled_flights,eligible_arrivals,delayed_arrivals,cancelled_flights,diverted_flights,arrival_delay_rate,cancellation_rate,diversion_rate
12982,LIH,15664,15493,2099,152,19,0.1354805395985283,0.0097037793667007,0.0012129724208375
12992,LIT,12782,12498,2852,259,25,0.2281965114418307,0.02026286966046,0.0019558754498513
13029,LNK,2865,2804,701,46,15,0.25,0.0160558464223385,0.0052356020942408
13061,LRD,1776,1703,337,69,4,0.1978860833822666,0.0388513513513513,0.0022522522522522
13076,LSE,891,867,167,24,0,0.1926182237600922,0.0269360269360269,0.0
13127,LWS,761,757,64,2,2,0.0845442536327609,0.0026281208935611,0.0026281208935611
13158,MAF,9881,9703,1732,144,34,0.1785014943831804,0.0145734237425361,0.0034409472725432
13184,MBS,2305,2264,533,39,2,0.2354240282685512,0.0169197396963123,0.0008676789587852
13198,MCI,48228,47324,9877,782,122,0.2087101682021807,0.016214647092975,0.0025296508252467
13204,MCO,160048,157950,38735,1668,430,0.245235834124723,0.0104218734379686,0.0026866939918024
13211,MCW,627,595,164,31,1,0.2756302521008403,0.0494417862838915,0.0015948963317384
13230,MDT,5069,4994,1070,66,9,0.2142571085302362,0.0130203195896626,0.001775498125863
13232,MDW,74017,73026,16289,799,192,0.2230575411497275,0.0107948174068119,0.0025939986759798
13241,MEI,627,617,127,9,1,0.2058346839546191,0.0143540669856459,0.0015948963317384
13244,MEM,24002,23539,4756,399,64,0.2020476655762776,0.0166236146987751,0.0026664444629614
13256,MFE,4864,4759,962,93,12,0.2021433074175247,0.0191200657894736,0.0024671052631578
13264,MFR,4613,4554,647,50,9,0.1420729029424681,0.0108389334489486,0.0019510080208107
13277,MGM,2113,2018,609,84,11,0.3017839444995044,0.0397539044013251,0.0052058684335068
13282,MGW,727,695,155,31,1,0.2230215827338129,0.0426409903713892,0.0013755158184319
13290,MHK,1563,1503,300,57,3,0.1996007984031936,0.036468330134357,0.0019193857965451
13296,MHT,5979,5805,1235,151,23,0.2127476313522825,0.0252550593744773,0.0038467971232647
13303,MIA,111907,110113,28671,1419,375,0.2603779753525923,0.0126801719284763,0.003350996809851
13342,MKE,27669,27152,5648,447,70,0.2080141426045963,0.0161552640138783,0.0025299071162673
13360,MLB,2942,2884,523,52,6,0.1813453536754507,0.0176750509857239,0.0020394289598912
13367,MLI,4204,4097,960,97,10,0.2343177935074444,0.0230732635585157,0.0023786869647954
13377,MLU,1087,1050,226,37,0,0.2152380952380952,0.0340386384544618,0.0
13422,MOB,1711,1634,357,70,7,0.2184822521419828,0.0409117475160724,0.0040911747516072
13433,MOT,2841,2792,582,41,8,0.2084527220630372,0.0144315381907778,0.0028159098908834
13459,MQT,1353,1312,286,41,0,0.2179878048780487,0.0303030303030303,0.0
13476,MRY,4866,4801,786,51,14,0.1637158925223911,0.0104808877928483,0.0028771064529387
13485,MSN,12771,12505,2576,218,48,0.2059976009596161,0.0170699240466682,0.0037585153864223
13486,MSO,4490,4432,916,32,26,0.2066787003610108,0.0071269487750556,0.0057906458797327
13487,MSP,112931,111700,22725,926,305,0.2034467323187108,0.0081996971602128,0.0027007641834394
13495,MSY,51121,50063,10721,912,146,0.2141501707848111,0.0178400266035484,0.002855969171182
13502,MTJ,2419,2391,573,19,9,0.2396486825595985,0.0078544853245142,0.003720545680033
13541,MVY,1070,1023,285,43,4,0.2785923753665689,0.0401869158878504,0.0037383177570093
13577,MYR,14532,14177,3051,326,29,0.2152077308316287,0.0224332507569501,0.0019955959262317
13795,OAJ,351,331,52,19,1,0.1570996978851963,0.0541310541310541,0.0028490028490028
13796,OAK,34591,34305,5819,223,63,0.169625419035126,0.0064467636090312,0.0018212829926859
13830,OGG,25505,25245,3515,221,39,0.1392354921766686,0.0086649676534012,0.0015291119388355
13851,OKC,24190,23774,4889,343,73,0.2056448220745352,0.0141794129805704,0.0030177759404712
13871,OMA,24648,24274,4583,320,54,0.1888028343083134,0.0129827977929243,0.0021908471275559
13873,OME,358,348,69,10,0,0.1982758620689655,0.0279329608938547,0.0
13891,ONT,26162,25866,4358,239,57,0.1684837238073146,0.0091353872028132,0.0021787325128048
13930,ORD,327028,320418,84927,5656,954,0.2650506525850608,0.0172951551549102,0.0029171814034272
13931,ORF,19872,19383,4179,456,33,0.2156013001083423,0.0229468599033816,0.0016606280193236
13933,ORH,962,934,242,22,6,0.2591006423982869,0.0228690228690228,0.0062370062370062
13964,OTH,473,466,104,2,5,0.223175965665236,0.0042283298097251,0.0105708245243128
13970,OTZ,363,349,36,14,0,0.1031518624641833,0.0385674931129476,0.0
14004,PAE,1121,1103,187,11,7,0.1695376246600181,0.0098126672613737,0.0062444246208742
14025,PBG,537,526,148,11,0,0.2813688212927757,0.0204841713221601,0.0
14027,PBI,30785,30181,7574,477,127,0.25095258606408,0.0154945590384927,0.0041253857398083
14057,PDX,61159,60559,10698,438,162,0.1766541719645304,0.0071616605896106,0.0026488333687601
14082,PGD,7712,7663,1536,30,19,0.2004436904606551,0.0038900414937759,0.002463692946058
14098,PHF,3,3,0,0,0,0.0,0.0,0.0
14100,PHL,97519,95211,25102,2039,269,0.2636460072890737,0.0209087459879613,0.0027584368174407
14107,PHX,196756,194840,38232,1406,510,0.1962225415725723,0.0071459066051352,0.0025920429364288
14108,PIA,5435,5301,1397,125,9,0.2635351820411243,0.0229990800367985,0.0016559337626494
14109,PIB,627,615,108,12,0,0.1756097560975609,0.0191387559808612,0.0
14112,PIE,9415,9339,2318,45,31,0.2482064460863047,0.0047796070100902,0.0032926181625066
14113,PIH,551,549,31,2,0,0.0564663023679417,0.0036297640653357,0.0
14120,PIR,297,291,55,6,0,0.1890034364261168,0.0202020202020202,0.0
14122,PIT,43176,42466,8249,629,81,0.1942495172608675,0.014568278673337,0.001876042245692
14150,PLN,925,885,193,36,4,0.2180790960451977,0.0389189189189189,0.0043243243243243
14193,PNS,13884,13515,2628,331,38,0.1944506104328524,0.0238403918179199,0.0027369634111207
14222,PPG,150,148,21,2,0,0.1418918918918918,0.0133333333333333,0.0
14231,PQI,365,363,18,2,0,0.0495867768595041,0.0054794520547945,0.0
14237,PRC,794,785,181,7,2,0.2305732484076433,0.008816120906801,0.0025188916876574
14252,PSC,6445,6408,733,22,15,0.1143882646691635,0.0034134988363072,0.0023273855702094
14254,PSE,688,680,67,7,1,0.0985294117647058,0.0101744186046511,0.001453488372093
14256,PSG,724,700,83,22,2,0.1185714285714285,0.0303867403314917,0.0027624309392265
14259,PSM,506,506,114,0,0,0.225296442687747,0.0,0.0
14262,PSP,14930,14795,2752,95,40,0.1860087867522811,0.0063630274614869,0.0026791694574681
14307,PVD,15528,15192,3283,304,32,0.216100579252238,0.0195775373518804,0.0020607934054611
14314,PVU,2978,2938,537,23,17,0.1827773995915589,0.0077233042310275,0.0057085292142377
14321,PWM,10750,10468,2246,242,40,0.2145586549484142,0.0225116279069767,0.0037209302325581
14457,RAP,5250,5140,1238,83,27,0.2408560311284046,0.0158095238095238,0.0051428571428571
14487,RDD,1698,1674,335,21,3,0.2001194743130227,0.0123674911660777,0.0017667844522968
14489,RDM,6165,6105,1026,43,17,0.168058968058968,0.0069748580697485,0.002757502027575
14492,RDU,55383,54330,11375,941,112,0.2093686729247193,0.0169907733420002,0.002022281205424
14512,RFD,935,932,258,3,0,0.2768240343347639,0.0032085561497326,0.0
14520,RHI,925,902,146,22,1,0.1618625277161862,0.0237837837837837,0.001081081081081
14524,RIC,17877,17460,3910,373,44,0.2239404352806414,0.0208647983442412,0.00246126307546
14534,RIW,729,718,121,5,6,0.1685236768802228,0.0068587105624142,0.0082304526748971
14543,RKS,729,721,137,4,4,0.1900138696255201,0.0054869684499314,0.0054869684499314
14570,RNO,20927,20640,3735,246,41,0.1809593023255813,0.0117551488507669,0.0019591914751278
14574,ROA,1772,1716,524,51,5,0.3053613053613053,0.0287810383747178,0.0028216704288939
14576,ROC,10084,9869,2280,201,14,0.231026446448475,0.0199325664418881,0.0013883379611265
14588,ROW,948,912,195,34,2,0.2138157894736842,0.0358649789029535,0.0021097046413502
14633,RST,1053,1026,321,27,0,0.3128654970760234,0.0256410256410256,0.0
14635,RSW,35222,34660,7240,459,103,0.2088863242931333,0.0130316279597978,0.0029243086707171
14674,SAF,3681,3609,856,59,13,0.2371848157384317,0.0160282531920673,0.0035316490084216
14679,SAN,96925,95509,20903,1109,307,0.2188589557005099,0.0114418364714985,0.0031673974722723
14683,SAT,41810,41200,7274,492,118,0.1765533980582524,0.0117675197321215,0.0028222913178665
14685,SAV,19299,18830,3934,427,42,0.2089219330855018,0.0221254987305041,0.0021762785636561
14689,SBA,8236,8130,1567,96,10,0.1927429274292743,0.0116561437591063,0.0012141816415735
14696,SBN,7848,7676,1979,146,26,0.2578165711307973,0.0186034658511722,0.0033129459734964
14698,SBP,5397,5312,1146,72,13,0.2157379518072289,0.0133407448582545,0.002408745599407
