city_a,city_b,scheduled_flights,eligible_arrivals,delayed_arrivals,cancelled_flights,diverted_flights,arrival_delay_rate,cancellation_rate,diversion_rate
"Chicago, IL","Philadelphia, PA",12214,11965,3226,225,24,0.2696197241955704,0.0184214835434747,0.0019649582446373015
"Atlanta, GA","Newark, NJ",12211,11832,3819,332,47,0.3227687626774848,0.027188600442224223,0.0038489886168208993
"Las Vegas, NV","San Francisco, CA",12199,12121,3101,74,4,0.2558369771471001,0.006066070989425363,0.00032789572915812773
"Atlanta, GA","Tampa, FL",12162,11968,3185,168,26,0.2661263368983957,0.013813517513566848,0.0021378062818615358
"Dallas/Fort Worth, TX","Denver, CO",12056,11754,3451,258,44,0.2936021779819636,0.021400132714001326,0.0036496350364963502
"Chicago, IL","Newark, NJ",12052,11747,3733,284,21,0.31778326381203714,0.023564553601062063,0.0017424493859940259
"Chicago, IL","Seattle, WA",11986,11818,3170,118,50,0.2682348959214757,0.009844818955448023,0.004171533455698315
"Houston, TX","New York, NY",11830,11546,2987,212,72,0.2587043131820544,0.017920540997464075,0.006086221470836856
"Chicago, IL","Kansas City, MO",11785,11559,2618,212,14,0.2264901808114889,0.017988969028425967,0.0011879507848960543
"Las Vegas, NV","Seattle, WA",11749,11652,2524,86,11,0.21661517336079644,0.007319771895480467,0.0009362498936079666
"Chicago, IL","Columbus, OH",11654,11497,2787,150,7,0.24241106375576238,0.012871117212974086,0.0006006521366054573
"Denver, CO","Minneapolis, MN",11612,11533,2873,56,23,0.2491112459897685,0.004822597313124354,0.0019807096107475027
"Phoenix, AZ","Salt Lake City, UT",11462,11400,1835,51,11,0.16096491228070176,0.004449485255627291,0.0009596928982725527
"Houston, TX","Las Vegas, NV",11384,11257,2113,96,31,0.18770542773385449,0.008432888264230498,0.002723120168657765
"Chicago, IL","San Francisco, CA",11379,11228,2583,125,26,0.2300498753117207,0.010985148079796116,0.002284910800597592
"Atlanta, GA","Baltimore, MD",11367,11132,2663,209,26,0.2392202659001078,0.01838655757895663,0.0022873229524060876
"Phoenix, AZ","San Diego, CA",11322,11143,2569,164,15,0.23054832630350894,0.01448507330860272,0.0013248542660307366
"Chicago, IL","Cleveland, OH",11315,11067,2566,236,12,0.23186048612993584,0.0208572691117985,0.0010605391073795847
"Houston, TX","Washington, DC",11313,11127,2499,147,39,0.22458883796171475,0.012993900822063113,0.003447361442588173
"Atlanta, GA","Philadelphia, PA",11280,11012,2941,249,19,0.26707228478023975,0.022074468085106384,0.0016843971631205674
"Dallas/Fort Worth, TX","Las Vegas, NV",11216,10879,2747,294,43,0.2525048258111959,0.026212553495007132,0.0038338088445078458
"Los Angeles, CA","Sacramento, CA",11199,11157,1373,38,4,0.12306175495204805,0.0033931601035806767,0.0003571747477453344
"Nashville, TN","New York, NY",11157,10763,2806,334,60,0.2607079810461767,0.029936362821547012,0.005377789728421619
"Atlanta, GA","Denver, CO",11133,10987,2780,98,48,0.25302630381359786,0.00880265876223839,0.004311506332524926
"Denver, CO","San Francisco, CA",11071,11000,2987,53,18,0.27154545454545453,0.004787282088338903,0.0016258693884924579
"Denver, CO","San Diego, CA",11041,10910,2744,88,43,0.2515123739688359,0.00797029254596504,0.0038945747667783717
"Houston, TX","Orlando, FL",10941,10807,2335,105,29,0.21606366244101047,0.009596928982725527,0.002650580385705146
"Orlando, FL","Philadelphia, PA",10863,10675,2984,158,30,0.27953161592505854,0.014544785050170303,0.0027616680475006906
"Atlanta, GA","Los Angeles, CA",10754,10611,2465,115,28,0.23230609744604655,0.010693695369164962,0.002603682350753208
"Houston, TX","New Orleans, LA",10708,10557,1894,139,12,0.17940702851188783,0.012980948823309675,0.0011206574523720584
"Honolulu, HI","Los Angeles, CA",10652,10574,1922,62,16,0.18176659731416683,0.005820503191888847,0.0015020653398422831
"Colorado Springs, CO","Denver, CO",10609,10427,2846,173,9,0.27294523832358303,0.01630690922801395,0.000848336318220379
"Seattle, WA","Spokane, WA",10605,10529,2078,68,8,0.19735967328331275,0.006412069778406412,0.0007543611504007544
"Dallas/Fort Worth, TX","Washington, DC",10601,10232,2525,307,62,0.24677482408131352,0.02895953211961136,0.005848504858032261
"San Diego, CA","San Jose, CA",10593,10484,2387,98,11,0.22768027470431132,0.009251392428962522,0.0010384215991692627
"New York, NY","Tampa, FL",10584,10321,2833,210,53,0.27448890611374865,0.01984126984126984,0.00500755857898715
"Dallas/Fort Worth, TX","Seattle, WA",10581,10362,2879,173,46,0.27784211542173326,0.016350061430866647,0.004347415178149514
"Nashville, TN","Washington, DC",10567,10190,2606,335,42,0.2557409224730128,0.03170246995362922,0.003974638024037097
"Los Angeles, CA","Newark, NJ",10457,10234,2530,171,52,0.24721516513582176,0.016352682413694176,0.00497274552931051
"New York, NY","West Palm Beach/Palm Beach, FL",10436,10144,2955,246,46,0.2913052050473186,0.023572249904177847,0.004407819087773093
"Houston, TX","Phoenix, AZ",10406,10275,2103,102,29,0.20467153284671533,0.009802037286181049,0.0027868537382279455
"New York, NY","Raleigh/Durham, NC",10379,9947,2681,419,13,0.26952850105559467,0.04036997783986897,0.0012525291453897292
"Dallas/Fort Worth, TX","Phoenix, AZ",10254,10020,2521,210,24,0.25159680638722554,0.02047981275599766,0.0023405500292568754
